Training log for: no_coherence
Started: 2026-01-20 09:29:38
============================================================

Epoch 001 | Train 4.362e-01 | Val 5.196e-01 | D:42.2% σ:38.8% | LR 1.0e-04 ✓ SAVED
Epoch 002 | Train 2.246e-01 | Val 1.771e-01 | D:32.8% σ:23.3% | LR 1.0e-04 ✓ SAVED
Epoch 003 | Train 1.766e-01 | Val 1.109e-01 | D:32.1% σ:16.3% | LR 1.0e-04 ✓ SAVED
Epoch 004 | Train 1.480e-01 | Val 2.168e-01 | D:38.8% σ:21.0% | LR 1.0e-04
Epoch 005 | Train 1.304e-01 | Val 4.502e-01 | D:46.8% σ:34.1% | LR 1.0e-04
Epoch 006 | Train 1.157e-01 | Val 3.526e-01 | D:31.4% σ:33.5% | LR 1.0e-04
Epoch 007 | Train 1.010e-01 | Val 3.730e-01 | D:37.4% σ:35.3% | LR 1.0e-04
Epoch 008 | Train 8.972e-02 | Val 1.712e-01 | D:33.0% σ:19.6% | LR 1.0e-04
Epoch 009 | Train 9.178e-02 | Val 1.320e-01 | D:19.7% σ:14.7% | LR 1.0e-04
Epoch 010 | Train 8.486e-02 | Val 1.182e-01 | D:18.5% σ:16.0% | LR 1.0e-04
Epoch 011 | Train 8.226e-02 | Val 1.402e-01 | D:20.2% σ:19.8% | LR 1.0e-04
Epoch 012 | Train 7.772e-02 | Val 6.964e-02 | D:13.5% σ:12.4% | LR 1.0e-04 ✓ SAVED
Epoch 013 | Train 7.464e-02 | Val 9.677e-02 | D:21.7% σ:15.2% | LR 1.0e-04
Epoch 014 | Train 7.001e-02 | Val 1.426e-01 | D:22.6% σ:18.1% | LR 1.0e-04
Epoch 015 | Train 6.551e-02 | Val 1.017e-01 | D:16.0% σ:15.6% | LR 1.0e-04
Epoch 016 | Train 6.586e-02 | Val 1.161e-01 | D:17.7% σ:23.8% | LR 1.0e-04
Epoch 017 | Train 6.638e-02 | Val 1.522e-01 | D:18.3% σ:20.2% | LR 1.0e-04
Epoch 018 | Train 5.581e-02 | Val 7.793e-02 | D:10.4% σ:18.6% | LR 1.0e-04
Epoch 019 | Train 5.417e-02 | Val 1.152e-01 | D:9.5% σ:17.0% | LR 1.0e-04
Epoch 020 | Train 5.403e-02 | Val 6.497e-02 | D:14.0% σ:12.2% | LR 1.0e-04 ✓ SAVED
Epoch 021 | Train 5.335e-02 | Val 4.708e-02 | D:10.2% σ:12.0% | LR 1.0e-04 ✓ SAVED
Epoch 022 | Train 5.105e-02 | Val 5.102e-02 | D:15.2% σ:13.3% | LR 1.0e-04
Epoch 023 | Train 4.801e-02 | Val 7.253e-02 | D:13.2% σ:13.6% | LR 1.0e-04
Epoch 024 | Train 4.852e-02 | Val 1.270e-01 | D:19.6% σ:20.5% | LR 1.0e-04
Epoch 025 | Train 4.849e-02 | Val 7.726e-02 | D:12.9% σ:14.2% | LR 1.0e-04
Epoch 026 | Train 4.096e-02 | Val 5.842e-02 | D:9.3% σ:11.5% | LR 1.0e-04
Epoch 027 | Train 4.457e-02 | Val 1.736e-01 | D:12.0% σ:23.2% | LR 1.0e-04
Epoch 028 | Train 4.326e-02 | Val 7.406e-02 | D:16.6% σ:10.3% | LR 1.0e-04
Epoch 029 | Train 4.533e-02 | Val 4.622e-02 | D:9.8% σ:10.5% | LR 1.0e-04 ✓ SAVED
Epoch 030 | Train 4.451e-02 | Val 6.958e-02 | D:11.8% σ:14.8% | LR 1.0e-04
Epoch 031 | Train 4.079e-02 | Val 8.133e-02 | D:10.4% σ:13.6% | LR 1.0e-04
Epoch 032 | Train 3.896e-02 | Val 9.313e-02 | D:14.3% σ:16.4% | LR 1.0e-04
Epoch 033 | Train 3.705e-02 | Val 5.562e-02 | D:10.5% σ:10.4% | LR 1.0e-04
Epoch 034 | Train 3.569e-02 | Val 9.132e-02 | D:9.7% σ:16.8% | LR 1.0e-04
Epoch 035 | Train 3.807e-02 | Val 7.368e-02 | D:10.7% σ:13.3% | LR 1.0e-04
Epoch 036 | Train 3.500e-02 | Val 7.209e-02 | D:12.1% σ:13.2% | LR 1.0e-04
Epoch 037 | Train 3.295e-02 | Val 1.064e-01 | D:19.7% σ:16.7% | LR 1.0e-04
Epoch 038 | Train 3.494e-02 | Val 7.593e-02 | D:16.8% σ:14.4% | LR 1.0e-04
Epoch 039 | Train 3.454e-02 | Val 1.410e-01 | D:14.4% σ:19.2% | LR 1.0e-04
Epoch 040 | Train 3.414e-02 | Val 8.043e-02 | D:12.9% σ:14.5% | LR 1.0e-04
Epoch 041 | Train 3.277e-02 | Val 4.331e-02 | D:9.2% σ:14.0% | LR 1.0e-04 ✓ SAVED
Epoch 042 | Train 2.942e-02 | Val 6.029e-02 | D:13.7% σ:12.6% | LR 1.0e-04
Epoch 043 | Train 2.890e-02 | Val 1.302e-01 | D:12.9% σ:19.1% | LR 1.0e-04
Epoch 044 | Train 2.825e-02 | Val 9.208e-02 | D:12.5% σ:14.0% | LR 1.0e-04
Epoch 045 | Train 3.183e-02 | Val 9.206e-02 | D:10.5% σ:17.7% | LR 1.0e-04
Epoch 046 | Train 2.791e-02 | Val 4.221e-02 | D:9.3% σ:11.5% | LR 1.0e-04 ✓ SAVED
Epoch 047 | Train 2.733e-02 | Val 4.140e-02 | D:7.4% σ:17.1% | LR 1.0e-04 ✓ SAVED
Epoch 048 | Train 2.760e-02 | Val 4.496e-02 | D:8.7% σ:12.9% | LR 1.0e-04
Epoch 049 | Train 2.793e-02 | Val 7.556e-02 | D:10.4% σ:14.3% | LR 1.0e-04
Epoch 050 | Train 2.540e-02 | Val 7.093e-02 | D:11.8% σ:15.7% | LR 1.0e-04
Epoch 051 | Train 2.503e-02 | Val 6.262e-02 | D:8.1% σ:16.3% | LR 1.0e-04
Epoch 052 | Train 2.561e-02 | Val 6.045e-02 | D:8.8% σ:12.3% | LR 1.0e-04
Epoch 053 | Train 2.684e-02 | Val 5.120e-02 | D:8.3% σ:10.4% | LR 1.0e-04
Epoch 054 | Train 2.599e-02 | Val 1.054e-01 | D:8.1% σ:15.1% | LR 1.0e-04
Epoch 055 | Train 2.622e-02 | Val 6.120e-02 | D:7.3% σ:14.7% | LR 1.0e-04
Epoch 056 | Train 2.356e-02 | Val 5.767e-02 | D:10.1% σ:11.8% | LR 1.0e-04
Epoch 057 | Train 2.372e-02 | Val 1.121e-01 | D:9.6% σ:21.4% | LR 1.0e-04
Epoch 058 | Train 2.149e-02 | Val 5.740e-02 | D:8.8% σ:17.2% | LR 1.0e-04
Epoch 059 | Train 2.159e-02 | Val 4.970e-02 | D:8.6% σ:10.6% | LR 1.0e-04
Epoch 060 | Train 2.195e-02 | Val 6.897e-02 | D:8.1% σ:14.1% | LR 1.0e-04
Epoch 061 | Train 2.292e-02 | Val 1.082e-01 | D:7.6% σ:16.2% | LR 1.0e-04
Epoch 062 | Train 2.123e-02 | Val 7.533e-02 | D:8.1% σ:14.2% | LR 1.0e-04
Epoch 063 | Train 2.057e-02 | Val 4.044e-02 | D:9.3% σ:11.3% | LR 1.0e-04 ✓ SAVED
Epoch 064 | Train 2.068e-02 | Val 7.278e-02 | D:9.9% σ:14.0% | LR 1.0e-04
Epoch 065 | Train 1.876e-02 | Val 1.290e-01 | D:8.6% σ:17.2% | LR 1.0e-04
Epoch 066 | Train 2.067e-02 | Val 1.255e-01 | D:9.5% σ:17.5% | LR 1.0e-04
Epoch 067 | Train 2.143e-02 | Val 5.187e-02 | D:10.0% σ:11.9% | LR 1.0e-04
Epoch 068 | Train 2.012e-02 | Val 5.434e-02 | D:11.9% σ:11.2% | LR 1.0e-04
Epoch 069 | Train 1.981e-02 | Val 4.121e-02 | D:7.4% σ:10.0% | LR 1.0e-04
Epoch 070 | Train 1.959e-02 | Val 6.076e-02 | D:9.0% σ:14.4% | LR 1.0e-04
Epoch 071 | Train 1.988e-02 | Val 5.958e-02 | D:7.8% σ:12.3% | LR 1.0e-04
Epoch 072 | Train 1.825e-02 | Val 3.175e-02 | D:6.8% σ:9.4% | LR 1.0e-04 ✓ SAVED
Epoch 073 | Train 1.927e-02 | Val 1.041e-01 | D:7.6% σ:16.3% | LR 1.0e-04
Epoch 074 | Train 1.794e-02 | Val 5.831e-02 | D:10.3% σ:12.1% | LR 1.0e-04
Epoch 075 | Train 1.889e-02 | Val 5.086e-02 | D:11.0% σ:11.8% | LR 1.0e-04
Epoch 076 | Train 1.794e-02 | Val 9.097e-02 | D:7.5% σ:15.0% | LR 1.0e-04
Epoch 077 | Train 1.544e-02 | Val 3.283e-02 | D:7.1% σ:9.2% | LR 1.0e-04
Epoch 078 | Train 1.714e-02 | Val 7.428e-02 | D:8.2% σ:14.5% | LR 1.0e-04
Epoch 079 | Train 1.724e-02 | Val 6.830e-02 | D:12.2% σ:13.2% | LR 1.0e-04
Epoch 080 | Train 1.645e-02 | Val 3.734e-02 | D:8.9% σ:11.1% | LR 1.0e-04
Epoch 081 | Train 1.795e-02 | Val 4.663e-02 | D:7.6% σ:13.4% | LR 1.0e-04
Epoch 082 | Train 1.666e-02 | Val 7.874e-02 | D:10.6% σ:18.7% | LR 1.0e-04
Epoch 083 | Train 1.593e-02 | Val 5.072e-02 | D:8.3% σ:12.3% | LR 1.0e-04
Epoch 084 | Train 1.633e-02 | Val 5.690e-02 | D:7.6% σ:12.7% | LR 1.0e-04
Epoch 085 | Train 1.656e-02 | Val 1.011e-01 | D:11.3% σ:15.6% | LR 1.0e-04
Epoch 086 | Train 1.550e-02 | Val 3.140e-02 | D:7.9% σ:9.5% | LR 1.0e-04 ✓ SAVED
