Training log for: no_gradient
Started: 2026-01-20 10:56:33
============================================================

Epoch 001 | Train 3.918e-01 | Val 1.251e-01 | D:21.6% σ:23.7% | LR 1.0e-04 ✓ SAVED
Epoch 002 | Train 1.871e-01 | Val 5.190e-01 | D:61.4% σ:27.9% | LR 1.0e-04
Epoch 003 | Train 1.563e-01 | Val 1.361e+00 | D:101.1% σ:21.9% | LR 1.0e-04
Epoch 004 | Train 1.338e-01 | Val 1.910e-01 | D:26.7% σ:24.7% | LR 1.0e-04
Epoch 005 | Train 1.262e-01 | Val 7.584e-02 | D:15.1% σ:24.3% | LR 1.0e-04 ✓ SAVED
Epoch 006 | Train 1.009e-01 | Val 3.524e-01 | D:60.8% σ:23.7% | LR 1.0e-04
Epoch 007 | Train 9.427e-02 | Val 1.305e-01 | D:21.5% σ:20.1% | LR 1.0e-04
Epoch 008 | Train 8.400e-02 | Val 8.958e-01 | D:80.1% σ:20.1% | LR 1.0e-04
Epoch 009 | Train 7.836e-02 | Val 1.241e-01 | D:29.2% σ:23.8% | LR 1.0e-04
Epoch 010 | Train 7.692e-02 | Val 5.464e-02 | D:12.6% σ:16.8% | LR 1.0e-04 ✓ SAVED
Epoch 011 | Train 6.810e-02 | Val 5.471e-02 | D:14.3% σ:20.0% | LR 1.0e-04
Epoch 012 | Train 6.447e-02 | Val 7.864e-01 | D:61.5% σ:54.2% | LR 1.0e-04
Epoch 013 | Train 5.727e-02 | Val 1.235e-01 | D:30.4% σ:24.5% | LR 1.0e-04
Epoch 014 | Train 5.466e-02 | Val 4.863e-02 | D:11.8% σ:16.7% | LR 1.0e-04 ✓ SAVED
Epoch 015 | Train 5.701e-02 | Val 1.311e-01 | D:12.4% σ:21.5% | LR 1.0e-04
Epoch 016 | Train 5.014e-02 | Val 5.159e-02 | D:14.0% σ:12.5% | LR 1.0e-04
Epoch 017 | Train 4.468e-02 | Val 5.362e-02 | D:14.5% σ:12.4% | LR 1.0e-04
Epoch 018 | Train 4.831e-02 | Val 4.520e-02 | D:17.2% σ:11.3% | LR 1.0e-04 ✓ SAVED
