Training log for: physics_loss_only
Started: 2026-01-20 12:26:22
============================================================

Epoch 001 | Train 4.317e-01 | Val 9.633e-01 | D:60.4% σ:21.9% | LR 1.0e-04 ✓ SAVED
Epoch 002 | Train 2.307e-01 | Val 2.504e-01 | D:31.7% σ:19.3% | LR 1.0e-04 ✓ SAVED
Epoch 003 | Train 1.897e-01 | Val 1.688e-01 | D:29.1% σ:21.0% | LR 1.0e-04 ✓ SAVED
Epoch 004 | Train 1.764e-01 | Val 3.569e-01 | D:36.8% σ:22.7% | LR 1.0e-04
Epoch 005 | Train 1.356e-01 | Val 1.680e-01 | D:19.9% σ:23.8% | LR 1.0e-04 ✓ SAVED
Epoch 006 | Train 1.166e-01 | Val 7.789e-02 | D:19.1% σ:22.6% | LR 1.0e-04 ✓ SAVED
Epoch 007 | Train 1.164e-01 | Val 9.688e-02 | D:17.9% σ:16.9% | LR 1.0e-04
Epoch 008 | Train 1.047e-01 | Val 1.292e-01 | D:20.7% σ:20.5% | LR 1.0e-04
Epoch 009 | Train 9.734e-02 | Val 1.920e-01 | D:32.1% σ:17.8% | LR 1.0e-04
Epoch 010 | Train 9.024e-02 | Val 7.200e-02 | D:14.8% σ:14.6% | LR 1.0e-04 ✓ SAVED
Epoch 011 | Train 9.105e-02 | Val 8.231e-02 | D:14.4% σ:15.9% | LR 1.0e-04
Epoch 012 | Train 8.384e-02 | Val 1.086e-01 | D:17.1% σ:12.4% | LR 1.0e-04
Epoch 013 | Train 8.366e-02 | Val 4.762e-01 | D:58.2% σ:37.5% | LR 1.0e-04
Epoch 014 | Train 7.560e-02 | Val 1.197e-01 | D:20.5% σ:29.6% | LR 1.0e-04
Epoch 015 | Train 6.898e-02 | Val 9.252e-02 | D:17.7% σ:15.1% | LR 1.0e-04
Epoch 016 | Train 7.294e-02 | Val 6.705e-02 | D:10.8% σ:15.1% | LR 1.0e-04 ✓ SAVED
Epoch 017 | Train 7.318e-02 | Val 1.150e-01 | D:30.3% σ:26.2% | LR 1.0e-04
Epoch 018 | Train 6.358e-02 | Val 1.104e-01 | D:12.1% σ:20.6% | LR 1.0e-04
Epoch 019 | Train 5.851e-02 | Val 1.004e-01 | D:16.6% σ:14.8% | LR 1.0e-04
Epoch 020 | Train 5.645e-02 | Val 9.624e-02 | D:15.1% σ:21.9% | LR 1.0e-04
Epoch 021 | Train 6.029e-02 | Val 1.096e-01 | D:9.5% σ:19.5% | LR 1.0e-04
Epoch 022 | Train 5.763e-02 | Val 5.555e-02 | D:10.2% σ:10.1% | LR 1.0e-04 ✓ SAVED
Epoch 023 | Train 5.349e-02 | Val 5.462e-02 | D:10.9% σ:11.7% | LR 1.0e-04 ✓ SAVED
Epoch 024 | Train 5.331e-02 | Val 4.836e-02 | D:11.7% σ:10.2% | LR 1.0e-04 ✓ SAVED
Epoch 025 | Train 4.736e-02 | Val 6.486e-02 | D:8.5% σ:14.1% | LR 1.0e-04
Epoch 026 | Train 4.890e-02 | Val 8.220e-02 | D:8.7% σ:14.9% | LR 1.0e-04
Epoch 027 | Train 4.757e-02 | Val 1.224e-01 | D:21.8% σ:19.4% | LR 1.0e-04
Epoch 028 | Train 4.745e-02 | Val 5.973e-02 | D:9.1% σ:11.1% | LR 1.0e-04
Epoch 029 | Train 4.426e-02 | Val 4.437e-02 | D:10.8% σ:11.9% | LR 1.0e-04 ✓ SAVED
Epoch 030 | Train 4.449e-02 | Val 5.514e-02 | D:10.5% σ:12.6% | LR 1.0e-04
Epoch 031 | Train 4.291e-02 | Val 5.672e-02 | D:9.8% σ:22.6% | LR 1.0e-04
