Training log for: pure_cnn
Started: 2026-01-20 08:03:26
============================================================

Epoch 001 | Train 4.397e-01 | Val 9.415e-01 | D:55.4% σ:41.9% | LR 1.0e-04 ✓ SAVED
Epoch 002 | Train 2.102e-01 | Val 2.058e-01 | D:28.6% σ:19.3% | LR 1.0e-04 ✓ SAVED
Epoch 003 | Train 1.750e-01 | Val 1.832e-01 | D:26.9% σ:27.2% | LR 1.0e-04 ✓ SAVED
Epoch 004 | Train 1.550e-01 | Val 1.176e-01 | D:24.5% σ:15.2% | LR 1.0e-04 ✓ SAVED
Epoch 005 | Train 1.205e-01 | Val 1.057e-01 | D:19.8% σ:15.6% | LR 1.0e-04 ✓ SAVED
Epoch 006 | Train 1.115e-01 | Val 1.041e-01 | D:22.5% σ:15.1% | LR 1.0e-04 ✓ SAVED
Epoch 007 | Train 9.943e-02 | Val 7.594e-02 | D:13.8% σ:15.3% | LR 1.0e-04 ✓ SAVED
Epoch 008 | Train 9.141e-02 | Val 7.021e-02 | D:16.8% σ:15.2% | LR 1.0e-04 ✓ SAVED
Epoch 009 | Train 8.810e-02 | Val 5.847e-02 | D:19.0% σ:16.4% | LR 1.0e-04 ✓ SAVED
Epoch 010 | Train 8.168e-02 | Val 2.139e-01 | D:30.3% σ:22.7% | LR 1.0e-04
Epoch 011 | Train 7.887e-02 | Val 8.652e-02 | D:28.7% σ:13.0% | LR 1.0e-04
Epoch 012 | Train 7.222e-02 | Val 5.914e-02 | D:16.5% σ:14.5% | LR 1.0e-04
Epoch 013 | Train 6.924e-02 | Val 8.740e-02 | D:11.2% σ:18.7% | LR 1.0e-04
Epoch 014 | Train 6.963e-02 | Val 1.735e-01 | D:27.2% σ:17.0% | LR 1.0e-04
Epoch 015 | Train 6.615e-02 | Val 1.116e-01 | D:17.0% σ:22.0% | LR 1.0e-04
Epoch 016 | Train 6.461e-02 | Val 1.020e-01 | D:13.8% σ:18.3% | LR 1.0e-04
Epoch 017 | Train 5.504e-02 | Val 6.537e-02 | D:13.6% σ:13.7% | LR 1.0e-04
Epoch 018 | Train 5.539e-02 | Val 1.339e-01 | D:21.0% σ:21.9% | LR 1.0e-04
Epoch 019 | Train 5.592e-02 | Val 1.084e-01 | D:15.3% σ:20.4% | LR 1.0e-04
Epoch 020 | Train 5.423e-02 | Val 7.606e-02 | D:14.4% σ:17.4% | LR 1.0e-04
Epoch 021 | Train 5.199e-02 | Val 1.282e-01 | D:31.3% σ:19.4% | LR 1.0e-04
Epoch 022 | Train 5.040e-02 | Val 7.108e-02 | D:15.4% σ:14.3% | LR 1.0e-04
Epoch 023 | Train 4.453e-02 | Val 6.799e-02 | D:12.0% σ:13.1% | LR 1.0e-04
Epoch 024 | Train 4.785e-02 | Val 8.909e-02 | D:18.9% σ:14.4% | LR 1.0e-04
Epoch 025 | Train 4.441e-02 | Val 5.144e-02 | D:13.6% σ:10.5% | LR 1.0e-04 ✓ SAVED
Epoch 026 | Train 4.314e-02 | Val 6.986e-02 | D:10.7% σ:15.4% | LR 1.0e-04
Epoch 027 | Train 4.281e-02 | Val 4.271e-02 | D:8.1% σ:9.7% | LR 1.0e-04 ✓ SAVED
Epoch 028 | Train 4.432e-02 | Val 4.815e-02 | D:9.5% σ:12.4% | LR 1.0e-04
Epoch 029 | Train 3.917e-02 | Val 5.082e-02 | D:14.5% σ:10.5% | LR 1.0e-04
Epoch 030 | Train 3.848e-02 | Val 4.325e-02 | D:10.6% σ:14.3% | LR 1.0e-04
Epoch 031 | Train 3.642e-02 | Val 3.361e-02 | D:7.6% σ:10.4% | LR 1.0e-04 ✓ SAVED
Epoch 032 | Train 3.623e-02 | Val 4.524e-02 | D:11.3% σ:10.2% | LR 1.0e-04
Epoch 033 | Train 3.658e-02 | Val 5.056e-02 | D:10.2% σ:10.8% | LR 1.0e-04
Epoch 034 | Train 3.624e-02 | Val 5.256e-02 | D:10.8% σ:10.2% | LR 1.0e-04
Epoch 035 | Train 3.573e-02 | Val 4.364e-02 | D:8.2% σ:11.2% | LR 1.0e-04
Epoch 036 | Train 3.376e-02 | Val 8.389e-02 | D:16.0% σ:10.6% | LR 1.0e-04
Epoch 037 | Train 3.502e-02 | Val 3.612e-02 | D:10.2% σ:9.6% | LR 1.0e-04
Epoch 038 | Train 2.945e-02 | Val 4.291e-02 | D:8.5% σ:12.8% | LR 1.0e-04
Epoch 039 | Train 3.241e-02 | Val 4.267e-02 | D:9.0% σ:13.3% | LR 1.0e-04
Epoch 040 | Train 3.182e-02 | Val 5.432e-02 | D:13.1% σ:11.5% | LR 1.0e-04
Epoch 041 | Train 3.079e-02 | Val 5.696e-02 | D:10.4% σ:11.6% | LR 1.0e-04
Epoch 042 | Train 2.897e-02 | Val 3.744e-02 | D:8.2% σ:9.8% | LR 1.0e-04
Epoch 043 | Train 3.040e-02 | Val 3.918e-02 | D:9.8% σ:10.0% | LR 1.0e-04
Epoch 044 | Train 2.972e-02 | Val 4.029e-02 | D:9.8% σ:10.1% | LR 1.0e-04
Epoch 045 | Train 2.768e-02 | Val 5.329e-02 | D:10.3% σ:16.0% | LR 1.0e-04
Epoch 046 | Train 2.691e-02 | Val 3.317e-02 | D:9.2% σ:9.4% | LR 1.0e-04 ✓ SAVED
Epoch 047 | Train 2.816e-02 | Val 4.741e-02 | D:9.9% σ:9.4% | LR 1.0e-04
Epoch 048 | Train 2.470e-02 | Val 3.018e-02 | D:8.0% σ:10.5% | LR 1.0e-04 ✓ SAVED
Epoch 049 | Train 2.585e-02 | Val 3.433e-02 | D:10.7% σ:11.2% | LR 1.0e-04
Epoch 050 | Train 2.478e-02 | Val 4.768e-02 | D:12.3% σ:15.0% | LR 1.0e-04
Epoch 051 | Train 2.690e-02 | Val 5.777e-02 | D:8.0% σ:16.6% | LR 1.0e-04
Epoch 052 | Train 2.324e-02 | Val 4.057e-02 | D:16.5% σ:10.2% | LR 1.0e-04
Epoch 053 | Train 2.428e-02 | Val 3.233e-02 | D:7.9% σ:10.2% | LR 1.0e-04
Epoch 054 | Train 2.398e-02 | Val 3.218e-02 | D:8.4% σ:10.0% | LR 1.0e-04
Epoch 055 | Train 2.461e-02 | Val 8.311e-02 | D:10.6% σ:16.6% | LR 1.0e-04
Epoch 056 | Train 2.326e-02 | Val 5.012e-02 | D:12.3% σ:11.4% | LR 1.0e-04
Epoch 057 | Train 2.261e-02 | Val 5.091e-02 | D:11.7% σ:10.5% | LR 1.0e-04
Epoch 058 | Train 2.093e-02 | Val 4.283e-02 | D:8.2% σ:10.5% | LR 1.0e-04
Epoch 059 | Train 2.173e-02 | Val 4.386e-02 | D:11.2% σ:8.8% | LR 1.0e-04
Epoch 060 | Train 2.028e-02 | Val 4.186e-02 | D:9.5% σ:10.8% | LR 1.0e-04
Epoch 061 | Train 2.237e-02 | Val 5.494e-02 | D:7.3% σ:13.5% | LR 1.0e-04
Epoch 062 | Train 2.059e-02 | Val 6.906e-02 | D:7.3% σ:14.9% | LR 1.0e-04
Epoch 063 | Train 2.023e-02 | Val 3.244e-02 | D:7.9% σ:10.5% | LR 1.0e-04
Epoch 064 | Train 1.930e-02 | Val 2.920e-02 | D:6.4% σ:9.8% | LR 1.0e-04 ✓ SAVED
Epoch 065 | Train 1.807e-02 | Val 4.232e-02 | D:7.0% σ:12.0% | LR 1.0e-04
Epoch 066 | Train 1.867e-02 | Val 5.568e-02 | D:7.7% σ:11.5% | LR 1.0e-04
Epoch 067 | Train 2.009e-02 | Val 5.670e-02 | D:8.8% σ:12.5% | LR 1.0e-04
Epoch 068 | Train 1.894e-02 | Val 3.314e-02 | D:7.7% σ:9.8% | LR 1.0e-04
Epoch 069 | Train 1.947e-02 | Val 3.884e-02 | D:7.4% σ:10.8% | LR 1.0e-04
Epoch 070 | Train 1.843e-02 | Val 3.434e-02 | D:6.6% σ:10.0% | LR 1.0e-04
Epoch 071 | Train 1.775e-02 | Val 3.236e-02 | D:7.1% σ:9.1% | LR 1.0e-04
Epoch 072 | Train 1.766e-02 | Val 3.746e-02 | D:7.5% σ:11.3% | LR 1.0e-04
Epoch 073 | Train 1.949e-02 | Val 3.468e-02 | D:8.3% σ:9.6% | LR 1.0e-04
Epoch 074 | Train 1.745e-02 | Val 4.506e-02 | D:7.1% σ:17.2% | LR 1.0e-04
Epoch 075 | Train 1.841e-02 | Val 4.263e-02 | D:8.7% σ:10.7% | LR 1.0e-04
